category,subcategory,product,vegan,glutenfree,ketofriendly,vegetarian,organic,dairyfree,sugarconscious,paleofriendly,wholefoodsdiet,lowsodium,kosher,lowfat,engine2,price,caloriesperserving,servingsize,servingsizeunits,totalsize,totalsizeunits,totalsecondarysize,secondarysizeunits,local
Meat,Meat alternatives,Plant Based Ground,1,0,0,1,0,1,0,0,0,0,0,1,0,739,250,113,g,339,g,0,NULL,0
Meat,Meat alternatives,Organic Kombu,1,0,1,1,1,1,1,1,1,0,0,0,0,539,10,4,g,48,g,0,NULL,0
Meat,Seafood,Tilapia Fillet,0,0,1,0,0,1,0,1,1,0,0,0,0,899,230,113,g,453.5,g,0,NULL,0
Meat,Seafood,Frozen Farm-Raised Seafood Value Pack Atlantic Salmon Fillets,0,0,1,0,0,1,1,1,1,1,0,0,0,2999,240,113,g,904,g,0,NULL,0
Meat,Seafood,Anchovy Fillets In Olive Oil,0,0,1,0,0,1,1,1,0,0,0,0,0,599,25,15,g,52.5,g,0,NULL,0
Beverages,Juice,Kids Super Fruit Punch,0,0,0,1,1,1,0,0,1,0,0,1,0,549,40,1,8,6.75,fl oz,200,NULL,0
Beverages,Kombucha & Tea,Kombucha Ginger Lime,1,1,0,1,1,1,0,0,0,1,1,1,0,419,30,8,1.5,12,fl oz,354,NULL,0
Beverages,Kombucha & Tea,Kombucha Lvndr Can Org,1,0,0,1,1,1,0,0,0,1,0,1,0,369,45,12,1,12,fl oz,354,NULL,0
Beverages,Soft Drinks,Organic Grapefruit Soda,1,0,0,1,1,1,0,0,0,1,0,1,0,449,140,11.2,4,44.8,fl oz,1321,NULL,0
Beverages,Sports Energy & Nutritional Drinks,Pomegranate Liquid Energy,0,0,0,0,0,1,0,0,0,0,0,0,0,249,25,1,1,2,fl oz,59,NULL,0
Beverages,Juice,Mango Juice,1,1,0,1,0,1,0,0,1,1,1,1,0,449,120,8,4,33.8,fl oz,997,NULL,0
Beverages,Tea,Peach Yerba Mate,1,0,0,1,1,1,0,0,0,1,0,1,0,349,30,8,2,16,fl oz,472,NULL,0
Beverages,Coffee,Brew Organic Mocha Coffee Cold Brew,1,0,0,1,1,1,1,1,1,1,1,1,1,1049,15,8,4,32,fl oz,944,NULL,0
Beverages,Juice,Naked Green Machine Smoothie,1,0,0,1,0,1,0,0,0,1,1,1,0,349,270,15.2,1,15.2,fl oz,449,NULL,0
Beverages,Sports Energy & Nutritional Drinks,Organic Guava Passionfruit Energy Drink,1,0,0,1,1,1,0,0,0,1,1,1,0,249,60,12,1,12,fl oz,354,NULL,0
Beverages,Tea,Organic Matcha Powder,1,1,1,1,1,1,1,1,1,1,1,1,1,1499,10,1,70,5,oz,148,NULL,0
Beverages,Juice,100% Orange Juice No Pulp (Not From Concentrate),1,0,0,1,0,1,0,0,1,1,1,1,0,429,110,8,7,59,oz,1740,NULL,0
Beverages,Coffee,Unsweetened Medium Roast Iced Coffee,1,0,0,1,0,1,0,1,1,1,1,1,1,599,15,12,4,48,fl oz,1416,NULL,0
Beverages,Water Seltzer & Sparkling Water,Organic Chocolate Coconut Smoothie,1,0,0,1,1,1,0,1,1,1,0,0,0,399,120,10,1,10,fl oz,295,NULL,0
Beverages,Coffee,Verve Seabright House Blend Whole Bean Coffee,1,0,1,1,0,1,1,1,1,1,0,1,1,1579,2.4,8,1.5,12,oz,354,NULL,0
NULL,NULL,Salted Restaurant Style Tortilla Chips,0,1,0,1,0,1,1,0,0,1,1,0,0,3.79,140,28,NULL,397,NULL,0,NULL,0
NULL,NULL,Peanut Butter Filled Pretezels,0,1,0,0,0,1,0,0,0,0,1,0,0,5.69,110,28,NULL,198,NULL,0,NULL,0
NULL,NULL,Grain Free Lime Tortilla Chips,1,1,0,1,0,1,1,1,0,1,0,0,0,4.99,130,28,NULL,142,NULL,0,NULL,0
NULL,NULL,Restaurant Style Dip Chips,1,1,0,1,0,1,1,1,0,1,0,0,0,4.99,130,28,NULL,142,NULL,0,NULL,0
NULL,NULL,Vegan White Cheddar Puffs,1,1,0,1,1,1,0,0,0,0,1,0,0,3.99,170,28,NULL,113,NULL,0,NULL,0
NULL,NULL,Sea Salt & Vinegar Potato Chips,1,1,0,1,0,1,1,0,0,0,1,0,0,6.79,140,28,NULL,368,NULL,0,NULL,0
NULL,NULL,Fine Ground Sea Salt Almond Flour Crakers,1,1,0,1,0,1,1,1,1,0,1,0,0,5.39,150,30,NULL,120,NULL,0,NULL,0
NULL,NULL,Gluten Free Original,0,1,0,0,0,1,0,0,0,0,0,0,0,4.99,45,13,NULL,155,NULL,0,NULL,0
NULL,NULL,Garlic and Herb Seed Crackers,1,1,0,1,1,1,1,1,1,0,1,0,0,5.39,150,30,NULL,120,NULL,0,NULL,0
NULL,NULL,Cheddar Cheese Nut-Thins,0,1,0,0,0,0,1,0,0,0,1,0,0,4.49,130,30,NULL,120.5,NULL,0,NULL,0
NULL,NULL,Organic Round Crackers,1,0,0,1,1,1,0,0,0,0,1,0,0,4.29,130,30,NULL,340,NULL,0,NULL,0
NULL,NULL,Mixed berry Granola Bars,1,1,0,1,1,1,0,0,0,1,1,0,0,5.99,100,24,NULL,144,NULL,0,NULL,0
NULL,NULL,Banana + Almond Butter Macrobar,1,1,0,1,1,1,0,0,0,1,1,0,0,3.49,280,65,NULL,65,NULL,0,NULL,0
NULL,NULL,Peanut Butter Protein Bar,0,0,0,1,0,1,0,0,1,0,1,0,0,2.79,200,52,NULL,52,NULL,0,NULL,0
NULL,NULL,Organic Peanut Butter Chocolate Chip Mini Macrobars 8 Pack,1,1,0,1,1,1,0,0,0,1,1,0,0,10.99,110,25,NULL,200,NULL,0,NULL,0
NULL,NULL,Peanut Butter & Jelly Protein Popper,0,0,0,1,0,1,0,0,0,1,1,0,0,2.79,180,45,NULL,45,NULL,0,NULL,0
NULL,NULL,Mango Halves Organic,1,0,0,1,1,1,0,1,1,1,1,1,1,9.99,130,10,NULL,227,NULL,0,NULL,0
NULL,NULL,Organic Pine Nuts,1,0,1,1,1,1,1,1,1,1,1,0,0,10.29,190,30,NULL,113,NULL,0,NULL,0
NULL,NULL,Organic Dried Fruit California Raisins,1,0,0,1,1,1,0,1,1,1,1,1,1,5.29,120,40,NULL,340,NULL,0,NULL,0
NULL,NULL,Sourmelon Bites,1,0,0,1,0,1,1,0,0,1,0,1,0,9.99,80,30,NULL,150,NULL,0,NULL,0
NULL,NULL,Roasted Shelled Pistachios,1,0,1,1,0,1,1,1,1,0,1,0,0,15.79,160,28,NULL,340,NULL,0,NULL,0
NULL,NULL,Organic Cheesy Puffs,0,1,0,1,1,0,1,0,0,0,0,0,0,5.29,160,30,NULL,113,NULL,0,NULL,0
NULL,NULL,Vegan White Cheddar Puffs,1,1,0,1,1,1,0,0,0,0,0,0,0,7.49,130,28,NULL,113,NULL,0,NULL,0
NULL,NULL,Organic Thick & Chunky Mild Salsa,1,0,1,1,1,1,1,1,1,1,0,1,1,3.99,10,30,NULL,454,NULL,0,NULL,0
NULL,NULL,Organic Thick And Chunky Mild Salsa,1,0,1,1,1,1,1,1,1,0,0,1,1,4.89,10,31,NULL,439,NULL,0,NULL,0
NULL,NULL,Dark Chocolate Coconut Bars,1,0,0,1,0,1,0,0,0,1,1,0,0,6.49,70,15,NULL,120,NULL,0,NULL,0
NULL,NULL,Vegan Marshmallows,0,1,0,0,0,1,0,0,0,1,1,1,0,4.79,100,28,NULL,283,NULL,0,NULL,0
NULL,NULL,Salty Dark Chocolate Bar,1,1,0,1,1,1,0,1,0,1,1,0,0,6.49,180,30,NULL,60,NULL,0,NULL,0
NULL,NULL,Covered Pretzels Dark Chocolate,0,0,0,0,0,0,0,0,0,0,1,0,0,4.69,130,30,NULL,142,NULL,0,NULL,0
Beer,Hard Cider,Dry Apple Cider,1,0,1,1,0,1,1,1,0,0,0,0,0,3,160,12,NULL,1,NULL,0,NULL,0
Beer,Hard Kombucha,Midnight Painkiller,0,1,0,1,1,1,0,0,0,0,1,0,0,13.99,150,12,NULL,6,NULL,0,NULL,0
Beer,Beer,Bud Light,1,0,0,0,0,1,1,0,0,0,0,0,0,12.99,110,12,NULL,12,NULL,0,NULL,0
Beer,Hard Seltzer,Margarita Hard Seltzer 12pk Cans,1,1,0,1,0,1,0,1,0,0,0,0,0,19.99,110,12,NULL,12,NULL,0,NULL,0
Beer,Beer,Variety Hard Seltzer 12pk Can,1,0,0,0,0,1,0,0,0,0,0,0,0,19.99,100,12,NULL,12,NULL,0,NULL,0
Beer,Hard Kombucha,Hard Kombucha Rotating Variety 6pk,1,0,0,0,0,1,0,0,0,0,0,0,0,16.99,136,12,NULL,6,NULL,0,NULL,0
Beer,Beer,White 6pk Cans,1,0,0,0,0,1,0,0,0,0,0,0,0,12.99,154,12,NULL,6,NULL,0,NULL,0
Beer,Beer,Ipa Phantom Bride Can 6pk ,1,0,0,0,0,1,0,1,0,0,0,0,0,13.99,210,12,NULL,6,NULL,0,NULL,0
Beer,Beer,Free Wave Hazy IPA,1,0,0,0,0,1,0,0,0,0,0,0,0,11.99,70,12,NULL,6,NULL,0,NULL,0
Beer,Beer,Organic Variety Seltzer 12pk Cans,1,0,1,1,1,1,1,0,0,1,0,0,0,18.99,80,12,NULL,12,NULL,0,NULL,0
Wine,Red Wine,Cabernet Sauvignon,1,0,0,1,0,1,0,1,0,0,0,0,0,4.99,120,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Red Blend,1,1,0,1,0,1,0,1,0,0,0,0,0,11.99,210,25.4,NULL,1,NULL,0,NULL,0
Wine,White Wine,Torrones,1,0,0,1,0,1,0,1,0,0,0,0,0,12.99,220,25.4,NULL,1,NULL,0,NULL,0
Wine,White Wine,Riesling,1,0,0,1,1,1,0,1,0,0,0,0,0,12.29,600,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Cabernet Sauvignon,0,0,1,0,0,1,1,0,0,1,0,0,0,32.99,125,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Claret Diamond Series,0,0,1,0,0,1,1,0,0,1,0,0,0,17.49,122,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Cannonball Cabernet Sauvignon,0,0,1,0,0,1,1,0,0,1,0,0,0,15.49,120,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Cabernet Sauvignon,0,0,1,0,0,1,1,0,0,1,0,0,0,15.49,125,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Alexander Valley Cabernet Sauvignon,0,0,1,0,0,1,1,0,0,1,0,0,0,87.99,620,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Chianti Classico DOCG Riserva,0,0,1,0,0,1,1,0,0,1,0,0,0,36.99,125,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Cabernet Sauvignon,0,0,1,0,0,0,0,0,0,0,1,0,0,10.99,114,25.4,NULL,1,NULL,0,NULL,0
Wine,White Wine,Mensch White Wine,0,0,0,0,0,0,0,0,0,0,1,0,0,21.99,125,25.4,NULL,1,NULL,0,NULL,0
Wine,Red Wine,Stella Black,0,0,0,0,0,1,0,0,0,1,0,0,0,11.99,160,25.4,NULL,1,NULL,0,NULL,0
Wine,White Wine,Moscato DOCG,0,0,0,0,0,0,0,0,0,1,0,0,0,18.99,118,25.4,NULL,1,NULL,0,NULL,0
Wine,White Wine,Organic Pinot Grigio,0,0,0,0,1,0,0,0,0,0,0,0,0,16.49,123,25.4,NULL,1,NULL,0,NULL,0
Wine,Blend,Bubbles Rose,1,0,0,1,0,1,0,1,0,0,0,0,0,5.99,125,12.7,NULL,1,NULL,0,NULL,0
Wine,Chardonnay,Organic Grapes Chardonnay,0,0,0,0,1,0,0,0,0,0,0,0,0,19.99,80,25.4,NULL,1,NULL,0,NULL,0
